
2024/09/28 (13:08:05) | ===> btop++ v.1.4.0
2024/09/28 (13:08:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (19:54:08) | ===> btop++ v.1.4.0
2024/09/28 (19:54:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (19:59:03) | ===> btop++ v.1.4.0
2024/09/28 (19:59:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (22:26:21) | ===> btop++ v.1.4.0
2024/10/08 (22:26:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:23:04) | ===> btop++ v.1.4.0
2024/10/09 (23:23:04) | WARNING: Intel GPU: Failed to initialize PMU
